,earphone,rating_star,total_reviews,old_price,new_price,website_link
55,"JBL C50HI, Wired in Ear Headphones with Mic, One Button Multi-Function Remote, Lightweight & Comfortable fit (Blue)",3.9 / 5 ,"104,260",₹999,₹449,https://www.amazon.in//JBL-C50HI-Ear-Headphones-Blue/dp/B07JQKR35P/ref=sr_1_71?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092017&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-71
56,"Xiaomi Wired in-Ear Earphones with Mic, Ultra Deep Bass & Metal Sound Chamber (Red)",4.1 / 5 ,"102,310",₹999,₹396,https://www.amazon.in//Xiaomi-Wired-Earphones-Ultra-Chamber/dp/B0BW4B7YZH/ref=sr_1_72?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092017&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-72
57,boAt Bassheads 105 Wired in Ear Earphones with Mic (Blue),4.0 / 5 ,"30,775",₹999,₹399,https://www.amazon.in//boAt-Bassheads-105-Wired-Headset/dp/B08YYP8J1N/ref=sr_1_73?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092017&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-73
58,Blaupunkt EM-05M in-Ear Wired Earphone with Mic and Deep Bass HD Sound Mobile Headset with Noise Isolation and with customised Extra Ear gels(White),4.0 / 5 ,"2,542","₹1,099",₹299,https://www.amazon.in//Blaupunkt-EM-05M-Earphone-Isolation-customised/dp/B0BL3NCNG8/ref=sr_1_74?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092017&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-74
59,D2Q Original Wired Galaxy Earphones for All Samsung Smartphones with Mic | Pure Bass Sound | One Button Multi-Function Remote | Comfort fit | 6 Months Warranty (White),4.1 / 5 ,376,₹899,₹299,https://www.amazon.in//D2Q-Original-Earphones-Smartphones-Multi-Function/dp/B0BLLH74WV/ref=sr_1_75?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092017&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-75
60,"Portronics Conch Beta Wired in Ear Earphones with Mic, 1.2m Tangle Free Cable, in-Line Mic, Noise Isolation, 3.5mm Aux Port and High Bass, for All Android & iOS Devices(Black)",4.0 / 5 ,"2,111",₹599,₹249,https://www.amazon.in//Portronics-Earphone-Isolation-Android-Devices/dp/B082XBJLYY/ref=sr_1_76?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092017&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-76
61,boAt Bassheads 100 Wired in Ear Earphones with Mic (Mint Green),4.1 / 5 ,"392,050",₹999,₹399,https://www.amazon.in//Bassheads-100-Wired-Earphones-Green/dp/B08MD255XB/ref=sr_1_77?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092017&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-77
62,"Xiaomi REDMI Wired High Definition in-Ear Earphones with in-Built HD Mic, Hi-Res Audio Certified, 10 mm Driver, Metal Sound Chamber for Dynamic Bass (Red)",4.1 / 5 ,"25,975",₹999,₹376,https://www.amazon.in//Xiaomi-Definition-Earphones-Certified-Chamber/dp/B08FMM3Z7S/ref=sr_1_78?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092017&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-78
63,"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Green)",3.5 / 5 ,"40,005",₹399,₹119,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3NTU3ODU5OTQyMTA0NjYwOjE2OTgwOTIwMTc6c3BfYnRmOjIwMDQyMTIzNDkxODk4OjowOjo&url=%2FZEBRONICS-Zeb-Bro-Earphones-Compatible-Green%2Fdp%2FB09R24JBYV%2Fref%3Dsr_1_79_sspa%3Fcrid%3D2KR2PU76C0SVW%26keywords%3Dearphones%2Bwired%26nav_sdd%3Daps%26qid%3D1698092017%26refinements%3Dp_36%253A1318503031%26rnid%3D1318502031%26s%3Delectronics%26sprefix%3Dearphones%2Bwired%26sr%3D1-79-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
64,"ZEBRONICS Yoga N3 with 46 Hours Backup,Bluetooth V5.2 Wireless Neckband,Enc Calling,Gaming Mode (Upto 50Ms),Voice Assistant,Dual Pairing,Splash Proof&Type C (Blue),in-Ear",3.6 / 5 ,369,"₹3,499",₹949,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3NTU3ODU5OTQyMTA0NjYwOjE2OTgwOTIwMTc6c3BfYnRmOjMwMDA2OTQ2MDIxMTQzMjo6MDo6&url=%2FZEBRONICS-Yoga-N3-Bluetooth-Assistant%2Fdp%2FB0BGRTXM19%2Fref%3Dsr_1_80_sspa%3Fcrid%3D2KR2PU76C0SVW%26keywords%3Dearphones%2Bwired%26nav_sdd%3Daps%26qid%3D1698092017%26refinements%3Dp_36%253A1318503031%26rnid%3D1318502031%26s%3Delectronics%26sprefix%3Dearphones%2Bwired%26sr%3D1-80-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
65,Z6 Bluetooth Headset Magnet Wireless Stereo Earphones Bluetooth V4.1 for Samsung Vivo Oppo and iPhone with Mic Noise Cancelling Headsets Compatible with All Android Smartphones (Assorted Colour),NaN,NaN,₹899,₹99,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3NTU3ODU5OTQyMTA0NjYwOjE2OTgwOTIwMTc6c3BfYnRmOjMwMDA3ODEyODc0MTIzMjo6MDo6&url=%2FBluetooth-Earphones-Cancelling-Compatible-Smartphones%2Fdp%2FB0CLKTKDRP%2Fref%3Dsr_1_81_sspa%3Fcrid%3D2KR2PU76C0SVW%26keywords%3Dearphones%2Bwired%26nav_sdd%3Daps%26qid%3D1698092017%26refinements%3Dp_36%253A1318503031%26rnid%3D1318502031%26s%3Delectronics%26sprefix%3Dearphones%2Bwired%26sr%3D1-81-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
66,"Boult Audio Z20 TWS Earbuds with 40H Playtime, Zen™ ENC Clear Calling Mic, Made in India, 10mm Rich Bass Drivers, Type-C Fast Charge, IPX5, Touch Controls, Voice Assistant, BT 5.3 Ear Buds (Green)",3.8 / 5 ,"17,866","₹5,499",₹999,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo5NTg4MzY2MzQ4NTA2NjA6MTY5ODA5MjAyMDpzcF9hdGZfbmV4dDozMDAwNzI0MjM0Njk0MzI6OjA6Og&url=%2FBoult-Audio-Lightning-Environmental-Cancellation%2Fdp%2FB0B31BYXQQ%2Fref%3Dsr_1_49_sspa%3Fcrid%3D2KR2PU76C0SVW%26keywords%3Dearphones%2Bwired%26nav_sdd%3Daps%26qid%3D1698092020%26refinements%3Dp_36%253A1318503031%26rnid%3D1318502031%26s%3Delectronics%26sprefix%3Dearphones%2Bwired%26sr%3D1-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
67,"Boult Audio X1 Pro Wired Earphones with Type-C Port, 10mm Bass Drivers, Inline Control, IPX5 Water Resistant, Comfort Fit earphones wired headphones with mic, Type C earphones, Voice Assistant (Black)",4.0 / 5 ,"78,440",₹999,₹449,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo5NTg4MzY2MzQ4NTA2NjA6MTY5ODA5MjAyMDpzcF9hdGZfbmV4dDozMDAwMTgxNzk3NTMzMzI6OjA6Og&url=%2FBoult-Audio-Earphones-Resistant-headphones%2Fdp%2FB0CC2DP26M%2Fref%3Dsr_1_50_sspa%3Fcrid%3D2KR2PU76C0SVW%26keywords%3Dearphones%2Bwired%26nav_sdd%3Daps%26qid%3D1698092020%26refinements%3Dp_36%253A1318503031%26rnid%3D1318502031%26s%3Delectronics%26sprefix%3Dearphones%2Bwired%26sr%3D1-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
68,"ZEBRONICS DC Aquaman Edition Buds 30 3.5mm Stereo Earphone with Inline Microphone for Calling, Volume Control, Multifunction Button, 14mm Drivers, Stylish eartip Design and 1.2 Meter Durable Cable",3.6 / 5 ,"6,383",₹599,₹199,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo5NTg4MzY2MzQ4NTA2NjA6MTY5ODA5MjAyMDpzcF9hdGZfbmV4dDoyMDEyMTY4NTQ5NTE5ODo6MDo6&url=%2FZEBRONICS-Aquaman-30-Microphone-Multifunction%2Fdp%2FB0BS6BDZRQ%2Fref%3Dsr_1_51_sspa%3Fcrid%3D2KR2PU76C0SVW%26keywords%3Dearphones%2Bwired%26nav_sdd%3Daps%26qid%3D1698092020%26refinements%3Dp_36%253A1318503031%26rnid%3D1318502031%26s%3Delectronics%26sprefix%3Dearphones%2Bwired%26sr%3D1-51-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
69,"Ambrane Wired in Ear Earphones with in-line Mic for Clear Calling, 14mm Dynamic Drivers for BoostedBass™, 3.5mm Jack, Multi-Functional Controller (Stringz 38 Lite, Pink)",3.8 / 5 ,"1,445",₹449,₹179,https://www.amazon.in//Ambrane-BoostedBassTM-Multi-Functional-Stringz-Lite/dp/B0BM41N38K/ref=sr_1_52?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092020&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-52
70,"Xiaomi Wired in-Ear Earphones with Mic, Ultra Deep Bass & Metal Sound Chamber (Blue)",4.1 / 5 ,"102,310",₹599,₹396,https://www.amazon.in//Mi-Earphone-Basic-Ultra-deep/dp/B07QJYB8BC/ref=sr_1_53?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092020&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-53
71,"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Blue)",3.5 / 5 ,"40,005",₹399,₹299,https://www.amazon.in//ZEBRONICS-Zeb-Bro-Earphones-Drivers-Compatible/dp/B09R24HMNW/ref=sr_1_54?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092020&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-54
72,"PTron Pride Indie in-Ear Wired Earphones with Mic, Stereo Sound, 10mm Drivers, Snug-fit Design, Passive Noise Cancellation, in-line Controls, Universal 3.5mm Aux & 1.2m Tange-Free Cable (Black)",3.7 / 5 ,"6,417",₹699,₹129,https://www.amazon.in//Pride-Indie-Earphones-Cancellation-Tange-Free/dp/B0BCWSM4XD/ref=sr_1_55?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092020&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-55
73,"Samsung Original EHS64 Wired in Ear Earphones with Mic, Black",4.2 / 5 ,"34,805",NaN,₹449,https://www.amazon.in//Samsung-Original-EHS64AVFBECINU-Hands-Free-Remote/dp/B01F262EUU/ref=sr_1_56?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092020&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-56
74,"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Premium Metallic Finish, Angled Buds for Comfort fit (Red)",4.1 / 5 ,"202,334","₹1,299",₹569,https://www.amazon.in//JBL-C100SI-Ear-Headphones-Mic/dp/B01DF26V7A/ref=sr_1_57?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092020&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-57
75,"JBL Endurance Run 2, Sports in Ear Wired Earphones with Mic, Pure Bass, Sweatproof, Flexsoft eartips, Magnetic Earbuds, Fliphook & TwistLock Technology with Voice Assistant Support for Mobiles (Black)",4.2 / 5 ,"17,628","₹1,799",₹998,https://www.amazon.in//JBL-Endurance-Earphones-Sweatproof-Technology/dp/B0B96HCWZC/ref=sr_1_58?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092020&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-58
76,ZEBRONICS Zeb-Tulip Wired in Ear Earphone with Mic (Black),3.4 / 5 ,"1,880",₹459,₹129,https://www.amazon.in//Zebronics-Zeb-Tulip-Earphone-Drivers-Black/dp/B08BY6QVC1/ref=sr_1_59?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092020&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-59
77,"Boult Audio X1 Pro Wired Earphones with Type-C Port, 10mm Bass Drivers, Inline Controls, IPX5 Water Resistant, Comfort Fit earphones wired headphones with mic, Type C earphones, Voice Assistant (Blue)",4.0 / 5 ,"78,440",₹999,₹449,https://www.amazon.in//Boult-Audio-Earphones-Resistant-headphones/dp/B0CC9J1GN3/ref=sr_1_60?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092020&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-60
78,"Portronics Conch Tune C in Ear Type C Wired Earphones with Mic,10mm Driver, 1.2m Nylon Braided Anti Tangle Wire, in line Controls, Metal Alloy Body, Wide Compatibility(Grey)",3.7 / 5 ,96,₹799,₹299,https://www.amazon.in//Portronics-Earphones-Braided-Controls-Compatibility/dp/B0CF1M3S6S/ref=sr_1_61?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092020&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-61
79,Boult Audio BassBuds X1 in-Ear Wired Earphones with 10mm Extra Bass Driver and HD Sound with mic(Red),4.0 / 5 ,"78,440",₹999,₹349,https://www.amazon.in//Boult-Audio-BassBuds-X1-Earphones/dp/B07TFW1KML/ref=sr_1_62?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092020&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-62
80,"Ambrane Wired in Earphones with in-line Mic for Clear Calling, 14mm Dynamic Drivers for BoostedBass™, 3.5mm Jack, Multi-Functional Controller (Stringz 38 Lite, Black)",3.8 / 5 ,"1,445",₹449,₹179,https://www.amazon.in//Ambrane-BoostedBassTM-Multi-Functional-Stringz-Lite/dp/B0BM3DNBS8/ref=sr_1_63?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092020&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-63
81,"Xiaomi Wired in-Ear Earphones with Mic, Ultra Deep Bass & Metal Sound Chamber (Black)",4.1 / 5 ,"102,310",₹999,₹396,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo5NTg4MzY2MzQ4NTA2NjA6MTY5ODA5MjAyMDpzcF9tdGY6MjAwNTkyNjQ2ODczOTg6OjA6Og&url=%2FMi-Earphones-Basic-Mic-Black%2Fdp%2FB07CD2BN46%2Fref%3Dsr_1_64_sspa%3Fcrid%3D2KR2PU76C0SVW%26keywords%3Dearphones%2Bwired%26nav_sdd%3Daps%26qid%3D1698092020%26refinements%3Dp_36%253A1318503031%26rnid%3D1318502031%26s%3Delectronics%26sprefix%3Dearphones%2Bwired%26sr%3D1-64-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
82,"Ambrane Wired in Ear Earphones with in-line Mic for Clear Calling, 14mm Dynamic Drivers for BoostedBass, 3.5mm Jack, Multi-Functional Controller (Stringz 38 Lite, Green)",3.8 / 5 ,"1,445",₹449,₹179,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo5NTg4MzY2MzQ4NTA2NjA6MTY5ODA5MjAyMDpzcF9tdGY6MjAxMTIxNjY4MjE3OTg6OjA6Og&url=%2FAmbrane-BoostedBass-Multi-Functional-Stringz-Lite%2Fdp%2FB0BM3LTJMN%2Fref%3Dsr_1_65_sspa%3Fcrid%3D2KR2PU76C0SVW%26keywords%3Dearphones%2Bwired%26nav_sdd%3Daps%26qid%3D1698092020%26refinements%3Dp_36%253A1318503031%26rnid%3D1318502031%26s%3Delectronics%26sprefix%3Dearphones%2Bwired%26sr%3D1-65-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
83,"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Green)",3.5 / 5 ,"40,005",₹399,₹119,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo5NTg4MzY2MzQ4NTA2NjA6MTY5ODA5MjAyMDpzcF9tdGY6MjAwNDIxMjM0OTE4OTg6OjA6Og&url=%2FZEBRONICS-Zeb-Bro-Earphones-Compatible-Green%2Fdp%2FB09R24JBYV%2Fref%3Dsr_1_66_sspa%3Fcrid%3D2KR2PU76C0SVW%26keywords%3Dearphones%2Bwired%26nav_sdd%3Daps%26qid%3D1698092020%26refinements%3Dp_36%253A1318503031%26rnid%3D1318502031%26s%3Delectronics%26sprefix%3Dearphones%2Bwired%26sr%3D1-66-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
84,boAt Bassheads 102 in Ear Wired Earphones with Mic(Charcoal Black),4.1 / 5 ,"82,210","₹1,290",₹399,https://www.amazon.in//BassHeads-102-Earphones-Multi-Function-Microphone/dp/B07S8PSW59/ref=sr_1_67?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092020&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-67
85,"ZEBRONICS Zeb-BRO PRO in Ear Wired Stereo Earphones with Mic, 3.5mm Audio Input Jack, 10mm Drivers, in-Line Mic, 1.2 Metre Cable (Green)",3.5 / 5 ,"40,005",₹449,₹169,https://www.amazon.in//Zebronics-Zeb-BRO-PRO-Earphones-Green/dp/B08V8J16RK/ref=sr_1_68?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092020&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-68
86,Sony MDR-EX15AP EX In-Ear Wired Stereo Headphones with Mic (Black),3.8 / 5 ,"6,459",₹890,₹799,https://www.amazon.in//Sony-MDR-EX15AP-Stereo-Headphones-Black/dp/B00ILAA0QU/ref=sr_1_69?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092020&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-69
87,boAt Bassheads 102 Wired in Ear Earphones with Mic (Mint Orange),4.1 / 5 ,"82,210","₹1,290",₹399,https://www.amazon.in//Boat-Bassheads-102-Earphones-Orange/dp/B08MSXS85Z/ref=sr_1_70?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092020&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-70
88,"JBL C50HI, Wired in Ear Headphones with Mic, One Button Multi-Function Remote, Lightweight & Comfortable fit (Blue)",3.9 / 5 ,"104,260",₹999,₹449,https://www.amazon.in//JBL-C50HI-Ear-Headphones-Blue/dp/B07JQKR35P/ref=sr_1_71?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092020&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-71
89,"Xiaomi Wired in-Ear Earphones with Mic, Ultra Deep Bass & Metal Sound Chamber (Red)",4.1 / 5 ,"102,310",₹999,₹396,https://www.amazon.in//Xiaomi-Wired-Earphones-Ultra-Chamber/dp/B0BW4B7YZH/ref=sr_1_72?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092020&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-72
90,boAt Bassheads 105 Wired in Ear Earphones with Mic (Blue),4.0 / 5 ,"30,775",₹999,₹399,https://www.amazon.in//boAt-Bassheads-105-Wired-Headset/dp/B08YYP8J1N/ref=sr_1_73?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092020&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-73
91,Blaupunkt EM-05M in-Ear Wired Earphone with Mic and Deep Bass HD Sound Mobile Headset with Noise Isolation and with customised Extra Ear gels(White),4.0 / 5 ,"2,542","₹1,099",₹299,https://www.amazon.in//Blaupunkt-EM-05M-Earphone-Isolation-customised/dp/B0BL3NCNG8/ref=sr_1_74?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092020&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-74
92,D2Q Original Wired Galaxy Earphones for All Samsung Smartphones with Mic | Pure Bass Sound | One Button Multi-Function Remote | Comfort fit | 6 Months Warranty (White),4.1 / 5 ,376,₹899,₹299,https://www.amazon.in//D2Q-Original-Earphones-Smartphones-Multi-Function/dp/B0BLLH74WV/ref=sr_1_75?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092020&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-75
93,"Portronics Conch Beta Wired in Ear Earphones with Mic, 1.2m Tangle Free Cable, in-Line Mic, Noise Isolation, 3.5mm Aux Port and High Bass, for All Android & iOS Devices(Black)",4.0 / 5 ,"2,111",₹599,₹249,https://www.amazon.in//Portronics-Earphone-Isolation-Android-Devices/dp/B082XBJLYY/ref=sr_1_76?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092020&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-76
94,boAt Bassheads 100 Wired in Ear Earphones with Mic (Mint Green),4.1 / 5 ,"392,050",₹999,₹399,https://www.amazon.in//Bassheads-100-Wired-Earphones-Green/dp/B08MD255XB/ref=sr_1_77?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092020&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-77
95,"Xiaomi REDMI Wired High Definition in-Ear Earphones with in-Built HD Mic, Hi-Res Audio Certified, 10 mm Driver, Metal Sound Chamber for Dynamic Bass (Red)",4.1 / 5 ,"25,975",₹999,₹376,https://www.amazon.in//Xiaomi-Definition-Earphones-Certified-Chamber/dp/B08FMM3Z7S/ref=sr_1_78?crid=2KR2PU76C0SVW&keywords=earphones+wired&nav_sdd=aps&qid=1698092020&refinements=p_36%3A1318503031&rnid=1318502031&s=electronics&sprefix=earphones+wired&sr=1-78
96,"Redmi Buds 4 Active - Bass Black, 12mm Drivers(Premium Sound Quality), Up to 30 Hours Battery Life, Google Fast Pair, IPX4, Bluetooth 5.3, ENC, Up to 60ms Low Latency Mode, App Support",3.6 / 5 ,"24,778","₹2,999",₹999,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo5NTg4MzY2MzQ4NTA2NjA6MTY5ODA5MjAyMDpzcF9idGY6MzAwMDAzMDgzNTk0MTMyOjowOjo&url=%2FRedmi-Buds-Active-Drivers-Bluetooth%2Fdp%2FB0C69PTC6M%2Fref%3Dsr_1_79_sspa%3Fcrid%3D2KR2PU76C0SVW%26keywords%3Dearphones%2Bwired%26nav_sdd%3Daps%26qid%3D1698092020%26refinements%3Dp_36%253A1318503031%26rnid%3D1318502031%26s%3Delectronics%26sprefix%3Dearphones%2Bwired%26sr%3D1-79-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
97,"ZEBRONICS Yoga N3 with 46 Hours Backup,Bluetooth V5.2 Wireless Neckband,Enc Calling,Gaming Mode (Upto 50Ms),Voice Assistant,Dual Pairing,Splash Proof&Type C (Blue),in-Ear",3.6 / 5 ,369,"₹3,499",₹949,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo5NTg4MzY2MzQ4NTA2NjA6MTY5ODA5MjAyMDpzcF9idGY6MzAwMDY5NDYwMjExNDMyOjowOjo&url=%2FZEBRONICS-Yoga-N3-Bluetooth-Assistant%2Fdp%2FB0BGRTXM19%2Fref%3Dsr_1_80_sspa%3Fcrid%3D2KR2PU76C0SVW%26keywords%3Dearphones%2Bwired%26nav_sdd%3Daps%26qid%3D1698092020%26refinements%3Dp_36%253A1318503031%26rnid%3D1318502031%26s%3Delectronics%26sprefix%3Dearphones%2Bwired%26sr%3D1-80-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
98,Z6 Bluetooth Headset Magnet Wireless Stereo Earphones Bluetooth V4.1 for Samsung Vivo Oppo and iPhone with Mic Noise Cancelling Headsets Compatible with All Android Smartphones (Assorted Colour),NaN,NaN,₹899,₹99,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo5NTg4MzY2MzQ4NTA2NjA6MTY5ODA5MjAyMDpzcF9idGY6MzAwMDc4MTI4NzQxMjMyOjowOjo&url=%2FBluetooth-Earphones-Cancelling-Compatible-Smartphones%2Fdp%2FB0CLKTKDRP%2Fref%3Dsr_1_81_sspa%3Fcrid%3D2KR2PU76C0SVW%26keywords%3Dearphones%2Bwired%26nav_sdd%3Daps%26qid%3D1698092020%26refinements%3Dp_36%253A1318503031%26rnid%3D1318502031%26s%3Delectronics%26sprefix%3Dearphones%2Bwired%26sr%3D1-81-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
99,"Boult Audio Z20 TWS Earbuds with 40H Playtime, Zen™ ENC Clear Calling Mic, Made in India, 10mm Rich Bass Drivers, Type-C Fast Charge, IPX5, Touch Controls, Voice Assistant, BT 5.3 Ear Buds (Green)",3.8 / 5 ,"17,866","₹5,499",₹999,https://www.amazon.in//sspa/click?ie=UTF8&spc=MToxOTkxMDQzMzg3NjIzNjYwOjE2OTgwOTIwMjI6c3BfYXRmX25leHQ6MzAwMDcyNDIzNDY5NDMyOjowOjo&url=%2FBoult-Audio-Lightning-Environmental-Cancellation%2Fdp%2FB0B31BYXQQ%2Fref%3Dsr_1_49_sspa%3Fcrid%3D2KR2PU76C0SVW%26keywords%3Dearphones%2Bwired%26nav_sdd%3Daps%26qid%3D1698092022%26refinements%3Dp_36%253A1318503031%26rnid%3D1318502031%26s%3Delectronics%26sprefix%3Dearphones%2Bwired%26sr%3D1-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
